town,Percent; HOUSING OCCUPANCY - Vacant housing units,Percent Margin of Error; HOUSING OCCUPANCY - Vacant housing units,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Percent Margin of Error; HOUSING OCCUPANCY - Total housing units - Vacant housing units
Bethel,3.6,1.5,5.8,2.3
Bridgeport,13.1,0.9,13.4,0.9
Brookfield,8.6,3.1,6.9,3.0
Danbury,9.3,1.2,9.1,1.1
Darien,5.6,2.0,4.9,1.7
Easton,3.4,2.4,2.6,1.9
Fairfield,6.4,1.0,5.8,1.1
Greenwich,8.1,1.3,9.5,1.4
Monroe,1.7,1.4,6.1,2.3
New Canaan,6.9,2.5,6.0,1.9
New Fairfield,13.2,2.7,17.4,2.5
Newtown,6.8,1.9,5.2,1.7
Norwalk,5.7,1.0,5.8,0.9
Redding,10.0,3.2,10.7,3.6
Ridgefield,4.2,1.7,5.8,2.0
Shelton,5.3,1.2,6.8,1.6
Sherman,20.6,5.5,20.3,5.9
Stamford,6.6,0.9,8.7,1.0
Stratford,5.7,1.2,7.2,1.4
Trumbull,2.2,1.2,4.0,1.2
Weston,9.3,3.2,11.9,3.2
Westport,8.9,2.1,9.7,1.9
Wilton,5.0,1.8,7.5,2.2
Avon,2.5,1.5,5.3,2.2
Berlin,4.2,1.8,3.8,1.9
Bloomfield,5.8,2.2,4.8,1.9
Bristol,6.1,1.1,7.7,1.3
Burlington,2.1,1.8,6.5,2.6
Canton,6.4,3.0,7.4,3.7
East Granby,2.6,3.3,0.6,0.9
East Hartford,5.7,1.3,9.6,1.5
East Windsor,6.7,2.7,6.7,3.6
Enfield,4.6,1.3,6.6,1.4
Farmington,4.7,1.7,5.4,1.5
Glastonbury,4.2,1.5,3.3,1.1
Granby,2.4,1.7,6.8,2.5
Hartford,15.3,0.8,14.7,0.8
Hartland,8.2,2.8,8.0,3.7
Manchester,4.1,1.0,6.2,1.2
Marlborough,3.9,3.8,0.0,1.4
New Britain,10.6,1.2,11.1,1.2
Newington,2.6,1.0,2.7,1.2
Plainville,4.6,2.0,8.2,2.5
Rocky Hill,6.1,2.4,5.3,2.2
Simsbury,3.7,1.3,4.6,1.6
Southington,3.5,1.0,6.1,1.5
South Windsor,3.8,1.5,6.3,1.8
Suffield,1.9,1.2,9.2,2.7
West Hartford,4.4,1.1,5.4,1.0
Wethersfield,2.7,1.3,4.4,1.5
Windsor,6.8,1.8,5.8,1.4
Windsor Locks,3.9,1.8,7.3,2.8
Barkhamsted,8.6,4.5,6.4,3.1
Bethlehem,8.0,4.6,21.0,5.1
Bridgewater,13.6,4.6,15.2,4.0
Canaan,18.8,5.0,28.6,6.1
Colebrook,15.7,5.4,30.5,5.6
Cornwall,38.6,5.5,44.6,5.0
Goshen,22.2,4.1,34.3,4.9
Harwinton,7.3,3.4,9.0,3.7
Kent,25.8,5.3,25.4,5.9
Litchfield,16.1,2.8,16.5,2.5
Morris,24.4,5.4,30.8,5.3
New Hartford,9.6,3.9,8.2,4.4
New Milford,9.2,1.8,11.2,2.1
Norfolk,29.1,5.7,30.4,5.4
North Canaan,13.2,5.3,18.5,6.2
Plymouth,7.2,2.4,8.5,2.6
Roxbury,16.1,5.2,22.4,5.1
Salisbury,37.0,4.4,40.1,3.8
Sharon,32.3,4.9,32.7,4.9
Thomaston,1.9,1.5,5.2,3.0
Torrington,10.6,1.6,12.8,1.7
Warren,22.8,6.1,28.4,4.4
Washington,25.3,5.7,34.6,4.6
Watertown,6.0,1.9,5.1,1.9
Winchester,15.6,3.8,15.2,3.6
Woodbury,9.3,3.3,10.8,3.5
Chester,13.2,4.9,14.1,4.6
Clinton,11.8,2.6,12.9,2.0
Cromwell,3.3,2.0,6.6,3.7
Deep River,14.6,5.1,7.6,3.8
Durham,2.6,2.7,6.1,4.4
East Haddam,23.9,3.8,21.3,3.8
East Hampton,10.1,3.8,10.8,3.8
Essex,9.4,4.7,12.2,4.5
Haddam,3.9,3.0,11.1,4.5
Killingworth,5.1,3.2,5.6,3.8
Middlefield,4.6,3.7,8.6,4.4
Middletown,7.2,1.5,9.6,1.5
Old Saybrook,23.8,3.2,23.8,3.4
Portland,7.9,3.0,10.6,3.8
Westbrook,23.0,4.1,25.6,4.8
Ansonia,5.7,2.2,10.6,2.9
Beacon Falls,6.0,4.2,10.0,4.9
Bethany,3.6,3.2,2.8,3.1
Branford,7.0,1.4,11.0,2.2
Cheshire,4.2,1.7,7.2,1.7
Derby,10.5,4.0,9.9,3.6
East Haven,6.9,2.3,10.2,2.5
Guilford,8.7,1.8,8.0,1.9
Hamden,7.3,1.2,8.1,1.2
Madison,13.8,2.5,15.5,2.3
Meriden,10.3,1.3,14.1,1.3
Middlebury,3.6,2.5,8.2,3.3
Milford,5.6,1.2,8.2,1.2
Naugatuck,7.0,1.9,7.9,2.4
New Haven,13.6,1.1,11.4,1.0
North Branford,4.0,2.6,7.7,3.2
North Haven,5.3,1.7,4.8,2.1
Orange,5.4,2.3,2.9,1.6
Oxford,4.5,2.6,6.3,3.1
Prospect,2.8,2.3,4.5,3.4
Seymour,5.0,2.6,8.8,2.8
Southbury,7.0,2.7,9.5,2.3
Wallingford,4.8,1.2,8.3,1.4
Waterbury,12.4,1.0,15.3,1.1
West Haven,8.1,1.7,12.0,1.8
Wolcott,3.2,1.6,4.8,2.2
Woodbridge,6.7,3.7,7.1,4.0
Bozrah,1.9,2.0,8.0,3.5
Colchester,6.6,3.2,8.8,2.5
East Lyme,14.3,2.1,14.8,2.1
Franklin,3.7,3.1,7.8,4.0
Griswold,9.5,3.4,10.6,4.0
Groton,12.1,1.8,11.5,2.0
Lebanon,12.1,5.0,12.6,5.9
Ledyard,5.6,2.8,8.4,3.1
Lisbon,5.8,3.9,4.7,3.9
Lyme,15.0,5.4,8.9,4.5
Montville,6.4,2.5,9.7,2.5
New London,11.8,2.4,11.6,1.7
North Stonington,10.4,3.7,11.0,5.7
Norwich,10.8,2.0,14.9,1.8
Old Lyme,34.2,3.2,36.2,2.6
Preston,4.6,3.4,6.1,3.8
Salem,15.0,4.7,6.5,3.5
Sprague,9.6,4.6,7.7,3.4
Stonington,15.4,2.3,15.2,2.4
Voluntown,11.9,3.8,8.2,3.4
Waterford,9.5,2.0,9.4,2.2
Andover,1.6,2.5,8.9,4.7
Bolton,9.1,4.4,5.4,3.6
Columbia,7.0,4.4,6.8,4.3
Coventry,4.6,2.3,7.1,3.6
Ellington,6.9,2.9,3.1,2.4
Hebron,7.4,3.9,6.3,2.5
Mansfield,10.8,3.0,10.8,2.7
Somers,5.0,2.6,5.3,2.5
Stafford,8.6,3.5,11.6,2.3
Tolland,0.3,0.5,5.8,2.6
Union,21.9,10.9,5.8,4.3
Vernon,4.3,1.7,7.2,1.9
Willington,2.5,3.0,7.2,4.7
Ashford,11.7,4.6,10.2,4.5
Brooklyn,9.3,4.9,4.7,3.8
Canterbury,3.0,2.7,7.0,3.1
Chaplin,11.2,5.2,8.3,4.5
Eastford,17.0,6.2,16.9,4.5
Hampton,8.8,5.1,5.5,2.7
Killingly,11.0,2.3,12.5,2.6
Plainfield,11.7,3.6,10.7,3.1
Pomfret,4.4,3.9,6.3,4.0
Putnam,12.6,4.7,12.3,3.8
Scotland,5.8,4.1,12.7,6.4
Sterling,9.0,5.8,0.0,2.5
Thompson,9.8,3.4,10.5,2.8
Windham,9.3,2.4,10.4,2.4
Woodstock,15.1,4.0,12.3,4.7
